"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","LoggerTemp","External Voltage","GPS Speed dup 1","Altitude","GPS LateralAcc","GPS InlineAcc","GPS Yaw Rate","Luminosity","Max Voltage 1","Min Voltage 1","Reverse","D4 Gate Driver B","D3 Module C","D2 Module B","D1 Module A","D4 RTD3 Temperat","D3 RTD2 Temperat","D2 RTD1 Temperat","D1 Control Board","D4 Torque Shudde","D3 Motor Tempera","D2 RTD5 Temperat","D1 RTD4 Temperat","D4 Analog Input","D2 Analog Input","D6 Analog Input","D3 Analog Input","D1 Analog Input","D5 Analog Input","D5 Digital Input","D2 Digital Input","D1 Digital Input","D6 Digital Input","D4 Digital Input","D3 Digital Input","D7 Digital Input","D8 Digital Input","D4 Delta Resolve","D3 Electrical Ou","D2 Motor Speed","D1 Motor Angle E","D4 DC Bus Curren","D1 Phase A Curre","D3 Phase C Curre","D2 Phase B Curre","D4 VBC Vq Voltag","D3 VAB Vd Voltag","D2 Output Voltag","D1 DC Bus Voltag","D4 Iq","D3 Id","D2 Flux Feedback","D1 Flux Command","D4 Reference Vol","D3 Reference Vol","D2 Reference Vol","D1 Reference Vol","D7 Direction Com","D6 Inverter Enab","D3 Relay 1 Statu","D7 BMS Active","D7 BMS Torque Li","D7 Max Speed Lim","D7 Low Speed Lim","D1 Commanded Tor","D2 Torque Feedba","D4 Iq Command","D3 Id Command","Fast Torque Comm","Fast Torque Feed","Fast Motor Speed","Fast DC Bus Volt","Inverter Enable","Direction Comman","Torque Command","Inverter Dischar","Torque Limit Com","SEG1OV","SEG1UV","SEG1OT","SEG1UT","SEG2OV","SEG2UT","SEG2UV","SEG2OT","SEG3OV","SEG3UV","SEG3OT","SEG3UT","SEG4OV","SEG4UV","SEG4OT","SEG4UT","SEG5OV","SEG5UV","SEG5OT","SEG5UT","SEG6OV","SEG6UV","SEG6OT","SEG6UT","Current","Voltage","RDTActive","Buzzer","D3 HV Input Curr","TSAL Active","BrakeSensor1","BrakeSensor2","APPS1","APPS2","Max Voltage 001","Min Voltage 001","AVG Voltage 001","Max Temperature","Min Temperature","Avg Temperature","Max Location 01","Min Location 01","Pack Voltage","Pack Current","Pack Current 01","Pack Inst Voltag","Average Temperat","High Temperature","Low Temperature","High Cell Voltag","Low Cell Voltage","Maximum Pack Vol","Minimum Cell Vol","Maximum Cell Vol"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","V","km/h","m","g","g","deg/s","%","mV","mV","#","#","#","#","#","°C","°C","°C","#","#","°C","°C","°C","#","#","#","#","#","#","#","#","#","#","#","#","#","#","deg","Hz","rpm","deg","A","A","A","A","mV","mV","mV","mV","A","A","#","#","mV","mV","mV","mV","#","#","#","#","#","#","#","Nm","Nm","A","A","Nm","Nm","rpm","mV","#","#","Nm","#","Nm","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","A","mV","#","#","#","#","bar","bar","%","%","mV","mV","mV","°C","°C","°C","#","#","#","#","A","mV","°C","°C","°C","mV","mV","mV","mV","mV"

"14.850","0.0866","14","0.0000","0.0000","6.5260","37.0890","0.0000","324.1556","35.6060","0.1953","10000.0000","40.86313994","-77.83451154","24.6406","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.4998","1.0000","26.5178","23.8000","23.8822","23.6178","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.1465","-1000.0000","-1000.0000","4.8700","2.0400","4.8900","4.8700","4.8600","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.4000","0.0000","0.0000","177.4000","0.0000","-0.2255","0.2000","0.1804","0.1686","-0.1686","0.0000","306.5627","0.2971","-0.4941","-18.5420","0.0340","11.5589","5.0418","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.1333","0.0000","0.0000","0.0000","0.0258","0.0000","306.7097","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8100","1.3100","3225.5999","2956.5061","3191.2561","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"14.900","0.1123","14","0.0000","0.0000","4.8386","-86.6848","0.0000","324.1593","35.5060","0.1903","10000.0000","40.86313991","-77.83451155","24.6406","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.4998","1.0000","26.5128","23.8000","23.8872","23.6128","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.1616","-1000.0000","-1000.0000","4.8700","2.0400","4.8886","4.8686","4.8614","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.4000","0.0000","0.0000","177.4000","0.0000","-0.5000","0.1706","-0.2559","0.2029","-0.0853","0.0000","306.6706","0.4735","-0.7294","-18.5420","0.0340","11.5564","5.0413","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.2471","0.0000","0.0000","0.0000","0.1505","0.0000","306.8022","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8072","1.3100","3225.5999","2956.5137","3191.2637","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"14.950","0.0843","14","0.0000","0.0000","4.1311","-130.4438","0.0000","324.1703","35.4530","0.1994","10000.0000","40.86313988","-77.83451152","24.6406","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.4998","1.0000","26.5078","23.8000","23.8922","23.6078","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.1766","-1000.0000","-1000.0000","4.8700","2.0400","4.8837","4.8637","4.8663","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.4000","0.0000","0.0000","177.4000","0.0000","-0.5000","0.0725","-0.1088","0.5461","-0.0363","0.0000","306.5725","0.7186","-0.8275","-18.5420","0.0340","11.5539","5.0408","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.3941","0.0000","0.0000","0.0000","0.0430","0.0000","306.3720","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7872","1.3100","3225.5999","2956.5212","3191.2712","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"15.000","0.0528","14","0.0000","0.0000","3.4860","-169.0955","0.0000","324.1818","35.4030","0.2094","10000.0000","40.86313985","-77.83451149","24.6471","11.3393","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.4998","1.0000","26.5028","23.8000","23.8972","23.6028","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.1916","-1000.0000","-1000.0000","4.8700","2.0400","4.8812","4.8612","4.8700","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.4000","0.0000","0.0000","177.4000","0.0000","-0.4363","-0.0637","0.0255","0.7108","-0.0382","0.0000","306.4108","0.7725","-0.7343","-18.5420","0.0340","11.5514","5.0403","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.4314","0.0000","0.0000","0.0000","0.0000","0.0000","306.2968","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7728","1.3100","3225.5999","2956.5286","3191.2786","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"15.050","0.0684","14","0.0000","0.0000","4.4003","-61.4026","0.0000","324.1836","35.3060","0.2053","10000.0000","40.86313978","-77.83451145","24.6536","11.3427","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.4998","1.0000","26.5022","23.8000","23.9000","23.6022","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.2022","-1000.0000","-1000.0000","4.8700","2.0400","4.8861","4.8661","4.8700","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.4000","0.0000","0.0000","177.4000","0.0000","-0.1912","-0.3088","0.1235","0.3676","-0.1853","0.0000","306.0677","0.2824","-0.0971","-18.5420","0.0340","11.5504","5.0398","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.1863","0.0000","0.0000","0.0000","0.0000","0.0000","306.4581","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7928","1.3100","3225.5999","2956.5361","3191.2861","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"15.100","0.0871","14","0.0000","0.0000","5.4142","55.6315","0.0000","324.1848","35.2060","0.2003","10000.0000","40.86313972","-77.83451140","24.6602","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.5037","1.0000","26.5072","23.8000","23.9000","23.6072","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.2072","-1000.0000","-1000.0000","4.8700","2.0400","4.8890","4.8700","4.8690","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.4000","0.0000","0.0000","177.4000","0.0000","-0.0539","-0.5000","0.1461","0.1431","-0.1922","0.0000","305.8971","-0.0461","0.2922","-18.5420","0.0340","11.5514","5.0393","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0235","0.0000","0.0000","0.0000","0.0000","0.0000","306.3806","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8100","1.3069","3225.5999","2956.5437","3191.2935","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"15.150","0.0882","14","0.0000","0.0000","10.3050","-34.2852","0.0000","324.1961","35.1530","0.2047","10000.0000","40.86313962","-77.83451138","24.6667","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.5120","1.0000","26.5122","23.8000","23.9000","23.6122","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.2122","-1000.0000","-1000.0000","4.8700","2.0400","4.8841","4.8700","4.8641","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.4000","0.0000","0.0000","177.4000","0.0000","-0.2990","-0.5000","-0.0990","0.3392","0.2980","0.0000","306.3383","0.1990","-0.1980","-18.5420","0.0340","11.5524","5.0388","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.1216","0.0000","0.0000","0.0000","0.0000","0.0000","306.2194","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8100","1.2849","3225.5999","2956.5510","3191.3010","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"15.200","0.0882","14","0.0000","0.0000","15.4433","-137.4116","0.0000","324.2079","35.1030","0.2097","10000.0000","40.86313953","-77.83451136","24.6719","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.5203","1.0000","26.5172","23.8000","23.9000","23.6172","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.2172","-1000.0000","-1000.0000","4.8708","2.0400","4.8808","4.8700","4.8592","4.8708","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.4000","0.0000","0.0000","177.4000","0.0000","-0.5265","-0.5265","-0.3265","0.4647","0.6559","0.0000","306.6471","0.3559","-0.5471","-18.5420","0.0340","11.5534","5.0383","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.1804","0.0000","0.0000","0.0000","-0.1419","0.0000","306.1527","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8100","1.2764","3225.5999","2956.5586","3191.3086","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"15.250","0.0707","14","0.0000","0.0000","17.9754","-98.4566","0.0000","324.2160","35.0060","0.1912","10000.0000","40.86313953","-77.83451131","24.6719","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.5286","1.0000","26.5222","23.8000","23.9000","23.6222","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.2222","-1000.0000","-1000.0000","4.8757","2.0400","4.8857","4.8700","4.8543","4.8757","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.4000","0.0000","0.0000","177.4000","0.0000","-0.6735","-0.6735","-0.4735","0.2686","0.4108","0.0000","306.3529","0.1108","-0.2529","-18.5420","0.0340","11.5544","5.0378","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0824","0.0000","0.0000","0.0000","-0.2978","0.0000","306.1032","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8100","1.2964","3225.5999","2956.5662","3191.3159","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"15.300","0.0520","14","0.0000","0.0000","20.3412","-50.4326","0.0000","324.2237","34.9060","0.1712","10000.0000","40.86313952","-77.83451127","24.6719","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.5369","1.0000","26.5271","23.8000","23.9000","23.6271","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.2271","-1000.0000","-1000.0000","4.8794","2.0400","4.8900","4.8700","4.8506","4.8794","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.4000","0.0000","0.0000","177.4000","0.0000","-0.7794","-0.8000","-0.5794","0.1137","0.2343","0.0000","306.1343","-0.0657","-0.0206","-18.5420","0.0340","11.5554","5.0373","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0157","0.0000","0.0000","0.0000","-0.1903","0.0000","306.2645","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8100","1.3148","3225.5999","2956.5735","3191.3235","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"15.350","0.0684","14","0.0000","0.0000","13.4294","4.2451","0.0000","324.2257","34.8530","0.1841","10000.0000","40.86313951","-77.83451116","24.6719","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.5454","1.0000","26.5321","23.8000","23.9000","23.6321","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.2321","-1000.0000","-1000.0000","4.8745","2.0400","4.8900","4.8700","4.8555","4.8745","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.4000","0.0000","0.0000","177.4000","0.0000","-0.6324","-0.8000","-0.4324","0.2118","0.4794","0.0000","306.3794","0.1794","-0.1676","-18.5420","0.0340","11.5564","5.0368","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.1137","0.0000","0.0000","0.0000","-0.0914","0.0000","306.3742","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8100","1.3298","3225.5999","2956.5811","3191.3308","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"15.400","0.0871","14","0.0000","0.0000","5.9253","59.3474","0.0000","324.2273","34.8030","0.1991","10000.0000","40.86313950","-77.83451104","24.6719","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.5537","1.0000","26.5371","23.8000","23.9000","23.6371","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.2371","-1000.0000","-1000.0000","4.8704","2.0400","4.8896","4.8696","4.8600","4.8704","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3951","0.0000","0.0000","177.4000","0.0000","-0.5000","-0.7510","-0.3000","0.3245","0.6755","0.0000","306.6049","0.3951","-0.3343","-18.5420","0.0340","11.5574","5.0363","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.1941","0.0000","0.0000","0.0000","-0.0376","0.0000","306.2129","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8100","1.3288","3225.5999","2956.5886","3191.3384","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"15.450","0.1053","14","0.0000","0.0000","6.7145","105.3215","0.0000","324.2320","34.7530","0.1953","10000.0000","40.86313941","-77.83451100","24.6745","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.5620","1.0000","26.5421","23.8000","23.9000","23.6421","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.2421","-1000.0000","-1000.0000","4.8753","2.0400","4.8847","4.8647","4.8600","4.8753","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3461","0.0000","0.0000","177.4000","0.0000","-0.5000","-0.2608","-0.3000","0.5696","0.4304","0.0000","306.6539","0.3461","-0.6775","-18.5420","0.0340","11.5584","5.0358","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.1451","0.0000","0.0000","0.0000","-0.0161","0.0000","306.1484","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8100","1.2938","3225.5999","2956.5959","3191.3459","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"15.500","0.1236","14","0.0000","0.0000","8.0331","150.7129","0.0000","324.2369","34.7030","0.1903","10000.0000","40.86313931","-77.83451097","24.6810","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.5703","1.0000","26.5471","23.8000","23.9000","23.6471","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.2471","-1000.0000","-1000.0000","4.8798","2.0400","4.8800","4.8600","4.8600","4.8800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3029","0.0000","0.0000","177.3971","0.0000","-0.4765","0.2088","-0.2912","0.8000","0.1853","0.0000","306.7029","0.2794","-0.9676","-18.5420","0.0340","11.5594","5.0353","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0922","0.0000","0.0000","0.0000","-0.0699","0.0000","306.3097","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8030","1.2700","3225.5999","2956.6035","3191.3533","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"15.550","0.1455","14","0.0000","0.0000","6.7789","20.1049","0.0000","324.2515","34.6060","0.1994","10000.0000","40.86313925","-77.83451095","24.6875","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.5786","1.0000","26.5521","23.8000","23.9000","23.6521","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.2521","-1000.0000","-1000.0000","4.8749","2.0400","4.8800","4.8600","4.8600","4.8800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3520","0.0000","0.0000","177.3480","0.0000","-0.0843","0.3559","-0.1441","0.8000","-0.0598","0.0000","306.7520","-0.0637","-0.4284","-18.5420","0.0340","11.5604","5.0348","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.0059","0.0000","0.0000","0.0000","-0.0290","0.0000","306.5656","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7810","1.2700","3225.5999","2956.6111","3191.3608","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"15.600","0.1675","14","0.0000","0.0000","5.3604","-121.7372","0.0000","324.2666","34.5060","0.2094","10000.0000","40.86313919","-77.83451093","24.6875","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.5869","1.0000","26.5571","23.8000","23.9000","23.6571","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.2571","-1000.0000","-1000.0000","4.8700","2.0400","4.8800","4.8600","4.8600","4.8800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3990","0.0000","0.0000","177.3000","0.0000","0.2990","0.5000","0.0049","0.7971","-0.2951","0.0000","306.7971","-0.3990","0.1069","-18.5420","0.0340","11.5614","5.0343","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.0922","0.0000","0.0000","0.0000","0.1323","0.0000","306.9419","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7700","1.2800","3225.5999","2956.6184","3191.3682","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
